,1,2,3,4,5,6,7,8,mean,eval,run_nr,enemy_set
0,-100,30,-60,-60,-70,-70,25.6,29.8,-34.325,dynamic,0,1
1,-50,-10,-80,55.6,-25.6,-100,91,63.4,-6.95,static,0,1
2,-100,26,-70,-60,-30,-80,41.2,29.2,-30.45,dynamic,1,1
3,-70,70,-50,47.8,64.6,-100,80.8,62.8,13.25,static,1,1
4,-90,56,-60,-60,53.2,-60,6.4,28,-15.8,dynamic,2,1
5,-90,-20,-50,67,55.6,-70,22.6,63.4,-2.675,static,2,1
6,-50,-70,-100,-50,43,-90,-10,21.4,-38.2,dynamic,3,1
7,-60,-100,-60,90.4,32,-80,-100,80.2,-24.675,static,3,1
8,-70,64,-40,-60,61,-70,-10,5.2,-14.975,dynamic,4,1
9,-90,28,-70,74.8,-60,-100,43.6,64.6,-13.625,static,4,1
10,-100,28,-70,-50,-50,-90,47.8,29.8,-31.8,dynamic,5,1
11,-80,16,-70,5.8,-1.4,-100,41.8,47.8,-17.5,static,5,1
12,-80,70,-90,-40,34.6,-70,23.8,49.6,-12.75,dynamic,6,1
13,-80,62,-30,-20,57.4,-80,-10,49,-6.45,static,6,1
14,-80,50,-70,-40,-70,-50,16.6,-10,-31.675,dynamic,7,1
15,-80,28,-70,1.6,-40,-100,43.6,50.2,-20.825,static,7,1
16,-100,80,-70,-40,-60,-70,42.4,28.6,-23.625,dynamic,8,1
17,-80,-10,-60,5.8,-1.4,-100,63.4,49.6,-16.575,static,8,1
18,-90,-40,-90,-30,60.4,-100,32.8,77.8,-22.375,dynamic,9,1
19,-100,70,-70,-10,-40,-60,68.2,66.4,-9.425,static,9,1
20,-80,-10,-30,-50,24.4,-30,46,47.8,-10.225,dynamic,0,2
21,-70,10,-10,-70,64.6,-10,-10,-70,-20.675,static,0,2
22,-70,70,-60,-70,64.6,-60,-30,-80,-29.425,dynamic,1,2
23,-80,-70,22,-70,67.6,31,-100,-40,-29.925,static,1,2
24,-100,-40,-40,-70,41.2,-40,-30,-90,-46.1,dynamic,2,2
25,-40,70,52,-60,81.4,14.2,-20,35.2,16.6,static,2,2
26,-90,34,-40,-70,11.8,-40,-30,-60,-35.525,dynamic,3,2
27,-80,70,-20,17.8,41.8,56.2,29.2,32.8,18.475,static,3,2
28,-50,-70,-20,-80,82,-60,-100,-70,-46,dynamic,4,2
29,-80,42,50,-50,73,46.6,-100,58.6,5.025,static,4,2
30,-90,-100,-40,-20,74.2,-20,-100,65.8,-28.75,dynamic,5,2
31,-70,72,48,-70,55,0.4,-20,-70,-6.825,static,5,2
32,-90,-70,-40,-50,53.2,-30,-100,-60,-48.35,dynamic,6,2
33,-70,72,68,-70,64.6,2.2,-90,-30,-6.65,static,6,2
34,-100,-60,-40,-70,31.6,-40,-60,-80,-52.3,dynamic,7,2
35,-100,76,22,-70,33.4,21.4,11.2,29.8,2.975,static,7,2
36,-70,70,-30,-70,66.4,-50,-10,-60,-19.2,dynamic,8,2
37,-70,-30,38,-70,57.4,32.8,-20,-30,-11.475,static,8,2
38,-90,64,-50,-70,45.4,-50,-20,28,-17.825,dynamic,9,2
39,-80,54,40,-90,52.6,31,-60,30.4,-2.75,static,9,2
