

gen best mean std
0 85.292892 1.666664 18.583534
1 85.292892 13.251912 27.228329
2 85.292892 25.848445 29.949586
3 85.292892 41.532414 29.639851
4 85.292892 57.058838 20.050139
5 88.163414 61.507976 17.20205
6 88.163414 62.747197 13.583162

gen best mean std
6 88.163414 62.747197 13.583162
7 88.163414 61.981203 14.695735
8 88.163414 62.451437 14.868511
9 88.163414 63.673787 13.7156
10 88.163414 62.987463 15.091149
11 88.163414 65.180515 10.846789
12 88.163414 66.169727 8.252425
13 88.163414 66.698183 8.311446
14 88.163414 65.09977 12.156769
15 88.163414 66.964795 8.248904
16 88.163414 65.337525 11.742615
